Flow,O,D,Year
1717,9,34,2015
23,9,40,2018
192,42,17,2010
178,4,39,2017
65,33,35,2017
1236,1,46,2012
259,46,25,2005
584,41,46,2010
48,29,47,2018
4091,10,18,2007
469,38,49,2017
157,8,41,2010
74,36,20,2008
337,11,44,2016
69,22,42,2012
746,14,19,2017
325,12,3,2006
957,20,3,2018
331,26,32,2016
124,49,20,2016
28,9,35,2012
167,40,7,2009
284,46,32,2012
2286,41,23,2007
131,25,47,2016
644,46,10,2007
281,4,13,2015
92,18,14,2018
108,22,45,2007
87,2,14,2007
189,20,44,2008
1726,20,10,2015
1168,2,25,2017
33,25,11,2017
387,10,34,2015
319,6,34,2013
41,38,3,2014
13,49,46,2006
1795,35,8,2015
562,34,4,2007
77,23,9,2006
15,1,8,2017
106,33,11,2007
186,2,49,2017
28,42,9,2010
1922,1,18,2013
379,32,34,2011
5606,9,12,2007
253,24,6,2012
475,41,32,2008
78,17,9,2010
28,5,34,2006
182,41,1,2017
1414,44,34,2010
1062,38,49,2008
46,15,5,2006
152,28,6,2014
631,49,37,2008
337,25,7,2016
48,8,17,2016
2581,49,25,2005
163,16,26,2008
123,16,32,2016
1501,25,2,2005
280,11,28,2014
402,32,41,2015
92,20,45,2016
891,6,18,2012
564,46,2,2006
668,18,21,2013
239,36,47,2015
261,13,17,2005
119,31,25,2016
2487,48,45,2017
386,24,19,2005
153,19,49,2010
805,29,12,2017
79,1,45,2015
274,19,23,2013
683,9,6,2009
94,8,22,2017
188,16,6,2015
622,17,6,2005
191,6,13,2006
1431,49,16,2013
17,9,39,2016
445,44,18,2005
124,16,41,2015
28,34,39,2012
19,44,40,2008
178,20,9,2005
444,38,7,2015
296,17,20,2008
590,15,21,2005
6278,14,48,2015
62,30,37,2016
1585,9,15,2016
274,6,12,2018
376,3,25,2011
441,16,2,2008
70,19,30,2005
831,36,18,2017
3942,33,10,2016
395,45,24,2008
75,6,36,2018
18,18,39,2012
197,18,31,2011
213,28,35,2017
235,27,49,2007
548,37,36,2013
52,22,31,2010
79,21,1,2016
176,16,48,2011
108,46,22,2010
1578,30,15,2006
440,3,6,2007
302,1,19,2008
534,19,39,2012
175,10,27,2012
128,47,44,2013
16,41,39,2015
302,5,7,2014
