O	D	Flow
17	34	162
17	46	443
17	16	2156
17	21	207
17	49	56
17	39	9
17	35	51
17	10	3248
17	18	3878
17	9	34
17	28	323
17	47	253
17	31	132
17	26	171
17	41	291
17	6	993
17	37	159
17	8	107
17	7	487
17	48	80
17	1	1407
17	20	579
17	30	27
17	11	105
17	27	98
17	33	9
17	36	44
17	13	8
17	25	343
17	2	880
17	45	83
17	42	245
17	3	205
17	44	32
17	19	317
17	40	71
17	32	664
17	23	1990
17	15	1329
17	22	75
17	4	548
17	12	338
17	5	29
17	43	93
17	24	52
34	17	124
34	46	116
34	16	5229
34	21	1828
34	49	39
34	39	39
34	35	27
34	10	1174
34	18	984
34	9	520
34	28	421
34	47	578
34	31	392
34	26	314
34	41	214
34	6	143
34	38	90
34	37	299
34	8	150
34	7	941
34	48	421
34	1	105
34	20	555
34	30	278
34	11	170
34	27	1261
34	33	21
34	36	159
34	13	1274
34	25	1143
34	2	333
34	45	131
34	42	497
34	3	554
34	44	1403
34	19	257
34	32	341
34	14	149
34	23	387
34	15	2674
34	22	1242
34	29	16
34	4	535
34	12	1326
34	5	44
34	43	322
34	24	267
46	17	488
46	34	397
46	16	529
46	21	659
46	35	35
46	10	643
46	18	604
46	9	37
46	28	415
46	47	294
46	31	322
46	26	305
46	41	236
46	6	772
46	37	168
46	8	78
46	7	265
46	48	192
46	1	492
46	20	2710
46	30	97
46	11	55
46	27	28
46	33	21
46	36	142
46	13	35
46	25	205
46	2	192
46	45	64
46	42	494
46	3	2471
46	44	192
46	19	185
46	32	333
46	14	7
46	23	2569
46	15	4019
46	22	40
46	4	19
46	12	473
46	5	177
46	43	224
46	24	187
16	17	139
16	34	1488
16	46	131
16	21	634
16	49	95
16	39	4
16	35	134
16	10	602
16	18	362
16	9	260
16	28	405
16	47	165
16	31	86
16	26	165
16	41	96
16	6	105
16	38	53
16	37	183
16	8	375
16	7	252
16	48	234
16	1	159
16	20	179
16	30	141
16	11	61
16	27	1268
16	33	42
16	36	154
16	13	129
16	25	576
16	2	426
16	45	32
16	42	201
16	3	211
16	44	915
16	19	237
16	40	35
16	32	150
16	14	49
16	23	229
16	15	1647
16	22	375
16	29	31
16	4	414
16	12	1038
16	5	40
16	43	166
16	24	70
21	17	377
21	34	1806
21	46	214
21	16	3270
21	49	86
21	39	17
21	35	88
21	10	1730
21	18	1052
21	9	437
21	28	759
21	47	336
21	31	459
21	26	626
21	41	444
21	6	474
21	38	102
21	37	342
21	8	562
21	7	362
21	48	645
21	1	122
21	20	553
21	30	354
21	11	696
21	27	618
21	33	48
21	36	199
21	13	836
21	25	401
21	2	954
21	45	190
21	42	732
21	3	783
21	44	1017
21	19	488
21	40	17
21	32	645
21	14	259
21	23	463
21	15	3416
21	22	768
21	29	120
21	4	1025
21	12	1267
21	5	163
21	43	272
21	24	975
49	17	138
49	34	127
49	46	119
49	16	1667
49	21	231
49	39	265
49	35	371
49	10	3601
49	18	903
49	9	10
49	28	385
49	47	232
49	31	144
49	26	139
49	41	72
49	6	199
49	38	408
49	37	496
49	8	3696
49	7	312
49	48	55
49	1	32
49	20	62
49	30	6
49	27	87
49	33	876
49	36	631
49	13	85
49	25	4075
49	2	1322
49	42	348
49	3	48
49	44	235
